category,symbol,name,address,depth,reviewLevel,status,latencyMs,error,responseBytes,responseMode,customerDataStatus,customerRiskScore,customerConfidence,providerCoverage,releaseReadiness,commercialCheckoutAllowed,commercialProSellReady,commercialAdvancedSellReady,commercialTopBlocker,entitlementOk,assessmentVerdict,assessmentConfidenceCap,assessmentMissingCount,canonicalHash,rawPath
audit,aave,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9,advanced,advanced_review,422,2611,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/aave-advanced.json.gz
audit,aave,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9,basic,basic_review,200,2633,,9150,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/aave-basic.json.gz
audit,aave,Aave,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9,pro,pro_review,422,2612,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/aave-pro.json.gz
audit,dai,Dai Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F,advanced,advanced_review,422,2612,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/dai-advanced.json.gz
audit,dai,Dai Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F,basic,basic_review,200,2633,,9200,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/dai-basic.json.gz
audit,dai,Dai Stablecoin,0x6B175474E89094C44Da98b954EedeAC495271d0F,pro,pro_review,422,2609,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/dai-pro.json.gz
audit,ldo,Lido DAO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,advanced,advanced_review,422,2613,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/ldo-advanced.json.gz
audit,ldo,Lido DAO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,basic,basic_review,200,2630,,9170,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/ldo-basic.json.gz
audit,ldo,Lido DAO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,pro,pro_review,422,2611,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/ldo-pro.json.gz
audit,link,Chainlink,0x514910771AF9Ca656af840dff83E8264EcF986CA,advanced,advanced_review,422,2613,,1080,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,92378805c186566107d44c4b328df19c0c23ea7c16563cd0f791c3913a2c5d55,evaluation/raw/audit/link-advanced.json.gz
audit,link,Chainlink,0x514910771AF9Ca656af840dff83E8264EcF986CA,basic,basic_review,200,2640,,9175,customer_compact,insufficient_data,,0,0/7 live-or-partial lanes,90,True,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,needs_evidence,54,2,b578b84b95b0aa5be24ec9bea8cef003910ffb9883054d3d336573fc8985b601,evaluation/raw/audit/link-basic.json.gz
audit,link,Chainlink,0x514910771AF9Ca656af840dff83E8264EcF986CA,pro,pro_review,422,2613,,1075,,insufficient_data,,0,0/7 live-or-partial lanes,90,False,False,False,"Raise formula coverage, lower confidence cap, or hide confident score until enough evidence exists.",True,,,0,fc92c4590a1fb7547dfe5dd7ba84b391f24fb5e13b0d161d377b9b0603839767,evaluation/raw/audit/link-pro.json.gz
